profile,asset,file,dropped_assets,history_days,start_date,end_date,daily_rows,max_gap_days,non_na_close_ratio
phase67j_no_neo_main,DOGE,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\DOGEUSDT_1d.csv,NEO,2459,2019-07-05,2026-03-28,2459,1,100.0
phase67j_no_neo_main,STX,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\STXUSDT_1d.csv,NEO,2347,2019-10-25,2026-03-28,2347,1,100.0
phase67j_no_neo_main,BCH,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\BCHUSDT_1d.csv,NEO,2313,2019-11-28,2026-03-28,2313,1,100.0
phase67j_no_neo_main,APT,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\APTUSDT_1d.csv,NEO,1257,2022-10-19,2026-03-28,1257,1,100.0
phase67j_no_neo_main,XTZ,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\XTZUSDT_1d.csv,NEO,2378,2019-09-24,2026-03-28,2378,1,100.0
phase67j_no_neo_main,ICP,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\ICPUSDT_1d.csv,NEO,1783,2021-05-11,2026-03-28,1783,1,100.0
phase67j_no_neo_drop_bch,DOGE,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\DOGEUSDT_1d.csv,"NEO,BCH",2459,2019-07-05,2026-03-28,2459,1,100.0
phase67j_no_neo_drop_bch,STX,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\STXUSDT_1d.csv,"NEO,BCH",2347,2019-10-25,2026-03-28,2347,1,100.0
phase67j_no_neo_drop_bch,APT,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\APTUSDT_1d.csv,"NEO,BCH",1257,2022-10-19,2026-03-28,1257,1,100.0
phase67j_no_neo_drop_bch,XTZ,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\XTZUSDT_1d.csv,"NEO,BCH",2378,2019-09-24,2026-03-28,2378,1,100.0
phase67j_no_neo_drop_bch,ICP,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\ICPUSDT_1d.csv,"NEO,BCH",1783,2021-05-11,2026-03-28,1783,1,100.0
phase67j_no_neo_drop_xtz,DOGE,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\DOGEUSDT_1d.csv,"NEO,XTZ",2459,2019-07-05,2026-03-28,2459,1,100.0
phase67j_no_neo_drop_xtz,STX,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\STXUSDT_1d.csv,"NEO,XTZ",2347,2019-10-25,2026-03-28,2347,1,100.0
phase67j_no_neo_drop_xtz,BCH,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\BCHUSDT_1d.csv,"NEO,XTZ",2313,2019-11-28,2026-03-28,2313,1,100.0
phase67j_no_neo_drop_xtz,APT,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\APTUSDT_1d.csv,"NEO,XTZ",1257,2022-10-19,2026-03-28,1257,1,100.0
phase67j_no_neo_drop_xtz,ICP,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\ICPUSDT_1d.csv,"NEO,XTZ",1783,2021-05-11,2026-03-28,1783,1,100.0
phase67j_no_neo_drop_bch_xtz,DOGE,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\DOGEUSDT_1d.csv,"NEO,BCH,XTZ",2459,2019-07-05,2026-03-28,2459,1,100.0
phase67j_no_neo_drop_bch_xtz,STX,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\STXUSDT_1d.csv,"NEO,BCH,XTZ",2347,2019-10-25,2026-03-28,2347,1,100.0
phase67j_no_neo_drop_bch_xtz,APT,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\APTUSDT_1d.csv,"NEO,BCH,XTZ",1257,2022-10-19,2026-03-28,1257,1,100.0
phase67j_no_neo_drop_bch_xtz,ICP,C:\Users\benda\Desktop\market_regime_v1\data\ohlcv_phase67_top100\ICPUSDT_1d.csv,"NEO,BCH,XTZ",1783,2021-05-11,2026-03-28,1783,1,100.0
